uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,targetTaxaPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,additionalSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"354304c2-9afa-4bda-80f4-56592aa0280b","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","31.1.10","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","PRSE2","Prunus serotina Ehrh.","species","Rosaceae","N",,,,,,"Y",,"0000-0002-6190-2839","0000-0003-0290-2967","OK",,"OK - no known exceptions"
"9fc0fee2-adf2-4064-91c5-df5013af3cb1","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","31.1.10","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","RUIDS2","Rubus idaeus L. ssp. strigosus (Michx.) Focke","subspecies","Rosaceae","N",,,,,,"Y",,"0000-0002-6190-2839","0000-0003-0290-2967","OK",,"OK - no known exceptions"
"0283cc31-b52f-4ce2-b0d0-368c41e2361f","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","31.1.10","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","ILVE","Ilex verticillata (L.) A. Gray","species","Aquifoliaceae","N",,,,"Woody plant with alternate leaves. Pale underside. Leaves have single teeth and taper to a point.",,"Y",,"0000-0002-6190-2839","0000-0003-0290-2967","OK",,"OK - no known exceptions"
"ce55a167-636a-4171-acf5-2d184adc5bc3","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","31.1.10","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","AMELA","Amelanchier sp.","genus","Rosaceae","N",,,,,,"Y",,"0000-0002-6190-2839","0000-0003-0290-2967","OK",,"OK - no known exceptions"
"5d6bea40-2de0-4ddb-8c76-a0a1e5dae07b","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","COAL2","Cornus alternifolia L. f.","species","Cornaceae","N",,,,,,"Y",,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"dd66ded6-07f1-41c4-b8f6-1ea0b3a36aca","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.2.10","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","BRAR9","Brachyelytrum aristosum (Michx.) Trel.","species","Poaceae","N",,,,,,"Y",,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"a35f0148-06af-42ed-9d43-2a6535b6928f","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.4.10","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","ARTR","Arisaema triphyllum (L.) Schott","species","Araceae","N",,,,,,"Y",,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"112a8480-620e-454f-a298-8da9068144f2","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.2.10","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","POPR","Poa pratensis L.","species","Poaceae","NI",,,,,,"Y",,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"be0ac472-66d1-432e-a6f7-0f6e48ad6919","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.4.10","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","CAPE4","Carex pedunculata Muhl. ex Willd.","species","Cyperaceae","N",,,,,,"Y",,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"04d3c177-26bf-4509-8e10-5aa5ae0642f2","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","31","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","ACRU2","Actaea rubra (Aiton) Willd.","species","Ranunculaceae","N","aff. species","Looks like hybrid ludovici - intermediate pedicel width",,,,"Y",,"0000-0002-6190-2839","0000-0003-0290-2967","OK",,"OK - no known exceptions"
"416bed9c-0fca-46bc-9fbb-a54c0a84761a","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.2.10","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","ACPA","Actaea pachypoda Elliott","species","Ranunculaceae","N",,,,,,"Y",,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"54d5724b-2128-4739-a429-7d9afe85a9bb","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","32.2.10","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","POTR5","Populus tremuloides Michx.","species","Salicaceae","N",,,,,,"Y",,"0000-0003-0290-2967","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"fdac9b9d-84a6-415b-b50c-b2e283958452","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","31.1.10","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","FRNI","Fraxinus nigra Marshall","species","Oleaceae","N",,,,,,"Y",,"0000-0002-6190-2839","0000-0003-0290-2967","OK",,"OK - no known exceptions"
"19634964-09ac-410c-9afc-cabdc63ddad7","UNDE_006.basePlot.div","D05","UNDE",46.254613,-89.512657,"WGS84",20.19,530.0,0.2,"distributed","deciduousForest","UNDE_006","31","2022-07-11",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","COAL2","Cornus alternifolia L. f.","species","Cornaceae","N",,,,,,"Y",,"0000-0002-6190-2839","0000-0003-0290-2967","OK",,"OK - no known exceptions"
