Family,Avg Percent Cover Across Species
Chenopodiaceae,1.5865384615384615
Poaceae,6.608974358974359
Asteraceae,1.5892857142857142
Malvaceae,0.8589743589743589
Convolvulaceae,0.5
Polygonaceae,1.75
Cyperaceae,1.375
Boraginaceae,0.9166666666666666
Cactaceae,8.977272727272727
Fabaceae,0.5909090909090909
Brassicaceae,0.5
Euphorbiaceae,0.5
Santalaceae,0.6
Liliaceae,0.5
Onagraceae,0.5
Scrophulariaceae,0.5
Nyctaginaceae,0.5
Apiaceae,0.5
Orobanchaceae,0.5
Commelinaceae,0.5
